,aug-cc-pVDZ-loose,aug-cc-pVDZ-loose,aug-cc-pVDZ-loose,aug-cc-pVDZ-loose,aug-cc-pVDZ-loose,aug-cc-pVDZ-loose,aug-cc-pVTZ-loose,aug-cc-pVTZ-loose,aug-cc-pVTZ-loose,aug-cc-pVTZ-loose,aug-cc-pVTZ-loose,aug-cc-pVTZ-loose,aug-cc-pVDZ-tight,aug-cc-pVDZ-tight,aug-cc-pVDZ-tight,aug-cc-pVDZ-tight,aug-cc-pVDZ-tight,aug-cc-pVDZ-tight,aug-cc-pVTZ-tight,aug-cc-pVTZ-tight,aug-cc-pVTZ-tight,aug-cc-pVTZ-tight,aug-cc-pVTZ-tight,aug-cc-pVTZ-tight
hydrogen_sulfide,3.4433148566993292,3.4433462588572548,3.4434716667330294,3.4439763032575446,3.4460059899056845,3.454282816589577,3.6029236919578103,3.602968329968066,3.6031489555510796,3.6038711911444903,3.6067755853193018,3.618638402669193,3.443264002274763,3.4432948765709495,3.4434216237554987,3.443928838519598,3.445966121954535,3.454259195237403,3.602918548113629,3.602962484180083,3.6031432627868454,3.603866068007651,3.606771894060076,3.6186363849975414
silane,4.556642718433762,4.556688883873732,4.556869596497776,4.557592409439964,4.5604994199348114,4.57238600308375,4.532475590739659,4.532529067626269,4.5327401365119755,4.533586984678832,4.5369934174841475,4.5509298496956365,4.55663984327195,4.556686452340402,4.556866853301399,4.557590208846145,4.560498346487252,4.572386313650011,4.532475500890852,4.532528433069072,4.532740165993615,4.533587271071903,4.536993762665012,4.550930324867719
ammonia,2.048261274445237,2.0482852507396814,2.048380384305734,2.048761193775788,2.050291191418687,2.05652226873732,2.092804623367558,2.0928333848129004,2.0929503053106795,2.0934189476047877,2.0953009290555085,2.1030098404261546,2.048263096691347,2.048287053331365,2.048382204270527,2.0487631081081505,2.050293312923182,2.0565249889450388,2.0928064568447686,2.092835731411031,2.0929527966847186,2.0934214606513417,2.0953062067954695,2.103014116500536
dimethyl_amine,5.568654392783395,5.5712077049397815,5.57100279771677,5.570992538457132,5.576358908255659,5.600734638994635,5.574014020104604,5.57410349266938,5.574463991351652,5.575910685945466,5.581780099382535,5.606765934678415,5.568670217404468,5.568757424094651,5.569108346859575,5.570518068318479,5.5762423917704105,5.600693348378885,5.57401773759898,5.574106929386234,5.574467580390311,5.575914352022457,5.581783899179821,5.606770252071511
trimethyl_amine,7.466252732292317,7.4664042538814135,7.467008043477677,7.469444648176229,7.47948819644758,7.523394622731975,7.453634332192558,7.453784677323842,7.454375181229766,7.456741216710128,7.466422860744488,7.508935509214397,7.4662254519483975,7.466379775697151,7.466993905627562,7.469460542465224,7.479522367510575,7.52338546746542,7.45351282291266,7.453662196553722,7.454258279508983,7.456654260613883,7.466418981452066,7.508903846032089
acetonitrile,4.245039105339062,4.2450684634366365,4.245185632598007,4.245654335917354,4.2475354982764335,4.25516834366327,4.272827218559019,4.272859342315174,4.272987989661594,4.273502848593697,4.2755705163241755,4.2839724728373225,4.245039026721357,4.2450688200240885,4.245185986377684,4.245654618976193,4.247535526222571,4.255167434295075,4.2728269040881965,4.27285963713157,4.272988424164808,4.273503295205441,4.2755706710589125,4.283971576367343
imidazole,7.17911830734859,7.179212160042691,7.179593700192371,7.181123729554355,7.187295111493657,7.212719207793301,7.182379673025812,7.182482594833834,7.182894297508685,7.184544890983239,7.191214950295147,7.218925617660589,7.179129235209699,7.179222832396256,7.17960458734074,7.181132653014938,7.187291366491858,7.212708925369518,7.182368801320207,7.182471745590431,7.182883727638915,7.184534412892622,7.191199133219971,7.218916515138529
pyrrole,8.04976761963279,8.007940122165868,8.016565090272048,8.018611213460769,8.027237081722134,8.058694539010675,8.04530138145834,8.018350204256814,8.018190154752467,8.018680787498132,8.026779594982155,8.062050399781223,8.017795494571185,8.017912079013367,8.018379911922402,8.020255089333139,8.027804887353918,8.058820207526958,8.015503541362254,8.015632437898724,8.016155487813052,8.018255771757133,8.026738111858318,8.062049130326825
pyrazole,7.189225669155494,7.166288099918245,7.1876957833410176,7.190258786182561,7.196037850283175,7.218424065038425,7.188160140926286,7.188304904200456,7.188235806958422,7.189956972107966,7.195762738326294,7.220213062878247,7.1888629607541334,7.1889472754358525,7.189284409918676,7.190635641910279,7.196076597098458,7.218435799871677,7.187953600981991,7.188045086721591,7.1884101318938685,7.189873387623288,7.1957751468062385,7.220210810921883
furan,7.090865035803367,7.090918613769886,7.09115370598027,7.092264124217559,7.097441749663316,7.119711033578082,7.09821065868465,7.098286128874464,7.098603340788299,7.099944113115309,7.1057284417944375,7.1304051560001005,7.08995683283461,7.090042354859668,7.090382273953554,7.091745251570797,7.09722729433748,7.119664011744741,7.097539701489862,7.097633517682885,7.098005736018874,7.099498632553734,7.105515144017803,7.130351797105858
thiophene,9.350321503722103,9.3546884589652,9.357163178685742,9.360048820519625,9.366915033683721,9.397002971315562,9.433646523297963,9.413712700747059,9.406835187340667,9.407012307416334,9.414865631333285,9.449453113363933,9.357262458809318,9.357388056209919,9.35784562529668,9.359667035391558,9.366995491184248,9.397050169841322,9.40364066075227,9.403777152320679,9.404298724643304,9.406380642929749,9.414774287561817,9.449488925439924
pyridine,9.33173978216923,9.343750004120075,9.349553096371231,9.352811098333753,9.359700137306401,9.386349949052198,9.333842626102356,9.342751752992623,9.348102212225834,9.351504472764933,9.3589619998781,9.388078771224095,9.351449555489642,9.351543950084357,9.351938257187907,9.353527288436169,9.359935289138138,9.386426117950291,9.349985199638798,9.350086798984698,9.350515034541917,9.352238984302526,9.359200478747972,9.388156369334606
phenol,10.939399156083534,10.939522378106307,10.940013745787134,10.941994362351853,10.950038925856305,10.983099866330171,10.952702125472289,10.952833501274268,10.95337122391989,10.955534909183024,10.964297969991424,11.000608280251972,10.939415665801755,10.939542352619139,10.940039926887062,10.942035387106388,10.950070937213706,10.983116602096233,10.952725126766792,10.95285877686669,10.953398975970044,10.955567736637839,10.964319098236636,11.000618076777094
chlorobenzene,12.169627188708244,12.172175300864946,12.17410838109345,12.17676731052206,12.185709945928116,12.221994268254896,12.273311858023044,12.274773428560882,12.276137920270903,12.278785801806013,12.288504165310341,12.328485135597647,12.174110149991831,12.174242935296965,12.17478789077152,12.17697367427846,12.185778677281943,12.222019510285632,12.275766976664858,12.275912711429251,12.276509240118827,12.278899923127396,12.288545138822977,12.328501517781454
fluorobenzene,10.101973978288356,10.102069291025566,10.101491087280884,10.103786328394582,10.110270928231357,10.13605588064525,10.124368860733416,10.124463898308655,10.124883219881534,10.12695712407559,10.133633402828943,10.161636657941582,10.101824065554455,10.101919007665336,10.102309508829592,10.10387721151543,10.1101862886374,10.136052455729825,10.124356708682315,10.12445197649512,10.124872009839015,10.126564854363926,10.133390942577696,10.16157977410492
toluene,12.063949066382419,12.061993821576422,12.059787456375267,12.062235181092044,12.071853051338417,12.111604770443266,12.067225740050073,12.06555152546464,12.06325512333589,12.066058058290336,12.07646164345268,12.119617587639908,12.059099454581078,12.059249850252316,12.05984469287288,12.062225942107721,12.071829167788298,12.111593073624658,12.062746170558938,12.062900177029093,12.063537376342556,12.066097562985567,12.076443744763159,12.119627687865403
benzene,10.127021242430239,10.125380434754229,10.126566893861643,10.128827057615155,10.13603032611791,10.165783600142014,10.135022907604405,10.131388806960556,10.13591509010977,10.13724337187328,10.145180329454849,10.178278403128747,10.126438112443955,10.126549115029025,10.126998159710254,10.12879864942303,10.136046662587628,10.165799098512768,10.134659884732221,10.134776637640918,10.13526899646639,10.137249692175274,10.145240290152486,10.178311346042351
thymine,11.532550788412758,11.53268329855592,11.533208021202329,11.535309648315874,11.543790344947261,11.579063789120832,11.536234275014738,11.536373754055969,11.536936300242203,11.539190387092736,11.548675117727845,11.586541073275862,11.532532773727024,11.532663346505293,11.53318766062041,11.53529010865723,11.543772986315753,11.579001646957343,11.536224234410595,11.5363654037325,11.536927441711422,11.539181921299512,11.548290064437177,11.58632344347499
