,,noxc,noxc,noxc,noxc,noxc,noxc,SCF,SCF,SCF,SCF,SCF,SCF,corr,corr,corr,corr,corr,corr,HF,HF,HF,HF,HF,HF,LDA_X,LDA_X,LDA_X,LDA_X,LDA_X,LDA_X,GGA_X_B88,GGA_X_B88,GGA_X_B88,GGA_X_B88,GGA_X_B88,GGA_X_B88,LDA_C_VWN,LDA_C_VWN,LDA_C_VWN,LDA_C_VWN,LDA_C_VWN,LDA_C_VWN,LDA_C_VWN_RPA,LDA_C_VWN_RPA,LDA_C_VWN_RPA,LDA_C_VWN_RPA,LDA_C_VWN_RPA,LDA_C_VWN_RPA,GGA_C_LYP,GGA_C_LYP,GGA_C_LYP,GGA_C_LYP,GGA_C_LYP,GGA_C_LYP,MP2_OS,MP2_OS,MP2_OS,MP2_OS,MP2_OS,MP2_OS,MP2_SS,MP2_SS,MP2_SS,MP2_SS,MP2_SS,MP2_SS
HH118,BS,8.28660352,8.28660352,10.74070066,-0.0,-0.0,-1.999e-05,4.55684638,4.55684638,6.51649834,-0.0,0.0,-5.97e-06,3.72975714,3.72975714,4.22420232,-0.0,-0.0,-1.402e-05,-4.00486851,-4.00486851,-4.74171209,0.0,0.0,1.933e-05,-3.48919712,-3.48919712,-3.91351947,0.0,0.0,1.578e-05,-3.52114636,-3.52114636,-3.9537174,0.0,0.0,1.521e-05,-0.18706357,-0.18706357,-0.19085416,0.0,-0.0,-1.82e-06,-0.23475763,-0.23475763,-0.23729304,0.0,-0.0,-1.655e-06,-0.08619207,-0.08619207,-0.08766476,-0.0,-0.0,-2.16e-06,0.11331145,0.11331145,0.83718549,-0.0,-0.0,-5.335e-06,-0.00989941,-0.00989941,0.26140846,0.0,-0.0,3.4e-07
HH118,BeH,10.32956667,10.32956666,9.01450299,0.0,-0.0,6.197e-05,5.48098764,5.48098764,4.08309223,0.0,0.0,8.1e-07,4.84857903,4.84857902,4.93141076,0.0,-0.0,6.117e-05,-5.00930337,-5.00930336,-5.45017198,-0.0,0.0,-7.116e-05,-4.33072269,-4.33072268,-4.39291781,-0.0,0.0,-5.395e-05,-4.65373145,-4.65373145,-4.70867565,-0.0,0.0,-5.697e-05,-0.20483932,-0.20483932,-0.21534671,-0.0,0.0,-3.97e-06,-0.29462107,-0.29462107,-0.31063204,-0.0,0.0,-5.16e-06,-0.11575249,-0.11575249,-0.05026999,-0.0,0.0,-7.5e-07,-0.02472258,-0.02472258,0.2411315,0.0,-0.0,1.78e-06,0.03465863,0.03465863,0.01938502,0.0,0.0,-7.2e-07
HH118,BeH2,5.55065979,5.55065979,5.40516356,0.0,0.0,0.0,3.01849482,3.01849482,3.09880277,0.0,-0.0,-0.0,2.53216497,2.53216497,2.30636078,0.0,0.0,0.0,-2.81218278,-2.81218278,-2.56886499,-0.0,-0.0,0.0,-2.10122156,-2.10122156,-1.93502395,-0.0,-0.0,-0.0,-2.30968848,-2.30968848,-2.10508245,-0.0,-0.0,-0.0,-0.19562993,-0.19562993,-0.194365,-0.0,-0.0,-0.0,-0.22610945,-0.22610945,-0.22476747,-0.0,-0.0,-0.0,-0.11813469,-0.11813469,-0.09821265,-0.0,-0.0,-0.0,0.18307135,0.18307135,0.19965137,0.0,-0.0,-0.0,0.02616523,0.02616523,0.01561568,0.0,-0.0,-0.0
HH118,C2H,9.24924593,9.24924655,6.3612047,-0.0,0.0,-0.000739635,3.94221337,3.94221344,4.0929207,-0.0,0.0,-0.00017543,5.30703257,5.30703311,2.268284,-0.0,0.0,-0.00056421,-9.37426697,-9.37426805,-2.44570908,0.0,-0.0,0.00169604,-6.72221988,-6.72222061,-2.07531673,0.0,-0.0,0.001068935,-5.85858993,-5.85859059,-2.09076219,0.0,-0.0,0.000827095,1.28266798,1.2826681,-0.15158403,-0.0,0.0,-0.000392765,1.27514183,1.27514193,-0.17509596,-0.0,0.0,-0.00040067499999999997,1.3093346,1.30933473,-0.09196756,-0.0,0.0,-0.000374255,5.89258088,5.89258153,-0.08380666,-0.0,0.0,-0.0016422849999999998,0.22653632,0.22653637,0.04636059,0.0,0.0,-5.46e-05
HH118,C2H2,5.61377969,5.61377969,6.91538834,-0.0,0.0,-0.0,2.93276384,2.93276384,4.71592329,-0.0,0.0,-0.0,2.68101585,2.68101585,2.19946504,-0.0,0.0,-0.0,-2.75489287,-2.75489287,-2.27931638,0.0,-0.0,0.0,-2.42213332,-2.42213332,-1.99915516,0.0,-0.0,0.0,-2.44327248,-2.44327248,-2.00935207,0.0,-0.0,0.0,-0.23141968,-0.23141968,-0.18502977,0.0,-0.0,0.0,-0.26721743,-0.26721743,-0.212818,0.0,-0.0,0.0,-0.15593214,-0.15593214,-0.1191287,0.0,-0.0,0.0,-0.15314727,-0.15314727,-0.23328478,0.0,-0.0,0.0,-0.00102739,-0.00102739,-0.01473063,0.0,-0.0,0.0
HH118,C2H3,6.63472809,8.5184904,6.44352667,0.38368669499999997,-0.0,0.0,3.58808389,5.27761084,3.30266363,-0.08252151,0.0,0.0,3.0466442,3.24087956,3.14086304,0.466208215,-0.0,0.0,-3.41288874,-3.56319447,-3.25052508,-0.5647537300000001,0.0,-0.0,-2.68992918,-2.91849559,-2.83817607,-0.40150861000000004,0.0,-0.0,-2.79300079,-2.99888675,-2.889097,-0.426898555,0.0,-0.0,-0.20833036,-0.20955581,-0.25209261,-0.02112564,0.0,-0.0,-0.23961704,-0.24275936,-0.29281949,-0.02332666,0.0,-0.0,-0.11401657,-0.1103885,-0.15791948,-0.011525774999999999,0.0,-0.0,0.32307681,0.04615224,-0.05185294,0.13167584,-0.0,-0.0,0.24190764,0.24662162,0.09570711,0.06453175,-0.0,-0.0
HH118,C2H4,6.57536877,6.2388017,7.86115195,0.0,-0.0,0.0,3.42672371,3.83757254,5.37050317,0.0,-0.0,0.0,3.14864506,2.40122916,2.49064878,0.0,-0.0,-0.0,-3.17710882,-2.60199568,-2.47512273,-0.0,0.0,-0.0,-2.83538272,-2.11108908,-2.26469759,-0.0,0.0,-0.0,-2.88302919,-2.18894311,-2.30160481,-0.0,0.0,0.0,-0.27998526,-0.1949365,-0.21363551,-0.0,0.0,-0.0,-0.32430138,-0.22398152,-0.24598297,-0.0,0.0,0.0,-0.18392746,-0.11518062,-0.1364613,-0.0,-0.0,-0.0,-0.14715023,0.13376002,-0.41233239,-0.0,0.0,-0.0,0.0833279,0.15899397,0.06357368,0.0,0.0,0.0
HH118,CH2-t,5.66268146,4.37321109,4.88070769,-0.0,0.0,-1.71e-06,2.31186332,2.42913053,2.19082031,-0.0,-0.0,3e-07,3.35081814,1.94408055,2.68988739,-0.0,0.0,-2.01e-06,-3.82719168,-2.22931142,-3.08293174,0.0,-0.0,3.7e-06,-3.00066034,-1.73908942,-2.40692621,0.0,-0.0,1.78e-06,-3.08991011,-1.79909833,-2.49375574,0.0,-0.0,2.07e-06,-0.19627968,-0.11271536,-0.14952502,0.0,0.0,-2.6e-07,-0.22441616,-0.13206339,-0.17360443,0.0,0.0,-1.9e-07,-0.09619882,-0.04773208,-0.06453472,0.0,0.0,-4.1e-07,0.22269415,0.15014626,0.18142254,-0.0,0.0,-1.36e-06,0.22718798,0.14022367,0.19111243,-0.0,0.0,-1.17e-06
HH118,CH2BH,9.12093721,6.40827466,9.12562446,0.0,-0.0,0.0,4.37311852,3.73562624,5.97964272,-0.0,-0.0,0.0,4.7478187,2.67264843,3.14598174,0.0,-0.0,0.0,-4.80348747,-2.85340865,-3.28887495,-0.0,0.0,-0.0,-4.25256634,-2.34049227,-2.8081245,-0.0,0.0,-0.0,-4.29073855,-2.43570783,-2.85652164,-0.0,0.0,-0.0,-0.45493972,-0.22537664,-0.27823269,-0.0,0.0,0.0,-0.53110409,-0.26083144,-0.32210234,-0.0,0.0,0.0,-0.31679001,-0.13757701,-0.17978447,-0.0,0.0,-0.0,-0.15652446,0.13184952,-0.00938504,-0.0,-0.0,-0.0,0.05489648,0.1539109,0.14451965,0.0,-0.0,0.0
HH118,CH2F,6.00080187,4.92962141,4.56738046,-0.0843088,0.0,-0.0,2.39446614,2.65948281,2.43111942,0.03195696,0.0,-0.0,3.60633573,2.2701386,2.13626103,-0.11626576,0.0,-0.0,-4.14590702,-2.74298515,-2.46831106,0.12696228,-0.0,0.0,-3.17439863,-1.99247079,-1.88158364,0.10033637000000001,-0.0,0.0,-3.29280344,-2.0578464,-1.94672949,0.10504555,-0.0,0.0,-0.22379,-0.12756944,-0.13566901,0.00761303,-0.0,-0.0,-0.25392765,-0.14484285,-0.15493952,0.00773016,0.0,0.0,-0.12858236,-0.06539847,-0.07530402,0.00708291,0.0,-0.0,0.51313146,0.5487513,0.3250867,-0.00934224,0.0,-0.0,0.26791167,0.30841878,0.18365086,-0.002232645,0.0,0.0
HH118,CH2NH,5.78441053,4.77579613,7.08611714,-0.0,-0.0,-0.321251935,3.32749582,2.60329305,4.41634994,-0.0,-0.0,0.08327203,2.45691471,2.17250309,2.66976719,0.0,-0.0,-0.404523965,-2.78919282,-2.28193243,-2.901738,-0.0,0.0,0.49314491000000005,-2.14738713,-1.94577654,-2.37808659,-0.0,0.0,0.338846045,-2.21069689,-1.99345967,-2.42242259,0.0,0.0,0.35550359,-0.19056734,-0.17301277,-0.21198865,-0.0,0.0,0.030991375,-0.21870765,-0.19879213,-0.24378168,0.0,0.0,0.036057435,-0.11605489,-0.10791745,-0.13419247,0.0,0.0,0.01970749,0.38848154,0.07686119,0.12568582,0.0,-0.0,-0.162422365,0.24858873,0.11130557,0.22281332,0.0,-0.0,-0.07153127000000001
HH118,CH2PH,11.79391148,9.26062272,9.50822479,0.0,-0.0,-0.18129430000000002,7.83403237,5.09165993,5.81148892,0.0,-0.0,-0.47061273,3.95987911,4.16896279,3.69673587,0.0,0.0,0.289318425,-3.86205101,-4.11285549,-3.91468959,-0.0,-0.0,-0.359706435,-3.61366078,-3.77159468,-3.25467848,-0.0,0.0,-0.24051040499999998,-3.66395146,-3.83889856,-3.38704914,-0.0,0.0,-0.24917836,-0.34419665,-0.36882465,-0.30603302,-0.0,-0.0,-0.023019155,-0.39804753,-0.42782841,-0.3532498,-0.0,-0.0,-0.02682195,-0.22803303,-0.24615339,-0.18225492,-0.0,0.0,-0.016823095,-0.61966737,-0.2636531,0.11938929,-0.0,0.0,0.153794465,0.00293133,0.0261629,0.17280459,-0.0,-0.0,0.02616439
HH118,CH3,4.3839814,4.3839511,6.18645994,-0.0,-0.0,-0.0,2.44634623,2.44629342,2.51646888,0.0,-0.0,-0.0,1.93763518,1.93765767,3.66999106,-0.0,-0.0,-0.0,-2.173169,-2.17322857,-4.11520854,0.0,0.0,0.0,-1.69454085,-1.69457965,-3.22451969,0.0,0.0,0.0,-1.77951256,-1.77956121,-3.34590317,0.0,0.0,0.0,-0.13475516,-0.13475697,-0.25563391,0.0,0.0,0.0,-0.1548581,-0.15486032,-0.28858414,0.0,0.0,0.0,-0.07005991,-0.07005935,-0.15439892,0.0,0.0,0.0,0.16816733,0.16818055,0.33427008,0.0,-0.0,-0.0,0.11682063,0.11682666,0.20097426,0.0,-0.0,-0.0
HH118,CH3BH2,6.25545891,8.69599927,7.22570142,-0.10043183,-3.7e-07,1.55e-06,3.8055879,5.0862085,4.39861275,-0.03835945,-1.3e-07,9.6e-07,2.449871,3.60979076,2.82708867,-0.062072384999999994,-2.3e-07,5.9e-07,-2.69301246,-4.26906225,-3.12415521,0.08935483,3.4e-07,-6.5e-07,-2.10209989,-3.0035758,-2.42480076,0.04787296,1.8e-07,-5.1e-07,-2.24974569,-3.27268812,-2.58400692,0.053826175000000004,2e-07,-5.2e-07,-0.18765523,-0.26706772,-0.22373072,0.003659065,2e-08,-6e-08,-0.21519063,-0.30578169,-0.25689406,0.00415778,2e-08,-7e-08,-0.1017051,-0.12503426,-0.12225595,0.00099774,0.0,-4e-08,0.20168023,0.53776057,0.2087496,-0.044529,-1.6e-07,1e-08,0.12879041,0.39403516,0.14810088,-0.017837145,-7e-08,2e-08
HH118,CH3Cl,7.06213705,7.06207316,8.69212459,0.0,-0.0,-3.8145e-05,4.07864825,4.07855983,5.57299955,0.0,0.0,-1.963e-05,2.9834888,2.98351333,3.11912504,0.0,-0.0,-1.8515e-05,-3.28415813,-3.28417903,-3.45830573,0.0,0.0,1.04e-05,-2.63567589,-2.63568338,-2.75991484,-0.0,0.0,9.65e-06,-2.721415,-2.72142766,-2.843456,0.0,0.0,1.063e-05,-0.22247195,-0.22247328,-0.23215278,0.0,0.0,1e-06,-0.25471796,-0.25471945,-0.26567302,0.0,0.0,1.14e-06,-0.13330585,-0.13330331,-0.13445347,0.0,0.0,5.3e-07,0.26883756,0.26883404,0.21713099,0.0,0.0,3.820000000000001e-06,0.15043753,0.15044086,0.22335565,0.0,0.0,-7.149999999999999e-07
HH118,CH3F,4.31057451,4.31037996,4.48885616,0.0,0.00011315,-0.0,2.4720227,2.47188544,2.65369362,0.0,6.025e-05,-0.0,1.83855181,1.83849452,1.83516253,0.0,5.29e-05,-0.0,-2.09872571,-2.09866091,-2.16872026,0.0,-7.6315e-05,0.0,-1.60096697,-1.60090395,-1.60233748,0.0,-5.6315e-05,0.0,-1.67143054,-1.67136845,-1.65463959,0.0,-5.496e-05,0.0,-0.12919852,-0.12919222,-0.12197717,0.0,-4.715e-06,0.0,-0.14718611,-0.14717883,-0.13853766,0.0,-5.38e-06,0.0,-0.0732751,-0.07326907,-0.06862829,0.0,-3.52e-06,-0.0,0.24684992,0.24686307,0.37321889,0.0,1.26e-05,-0.0,0.15367668,0.15368009,0.22832655,0.0,8.605e-06,-0.0
HH118,CH3NH2,7.35787944,7.13302562,5.94674895,-0.55277274,0.0,-0.0,4.28512882,3.75293409,3.62374,-0.07907013,0.0,-0.0,3.07275062,3.38009153,2.32300894,-0.473702605,0.0,-0.0,-3.58552442,-3.87577097,-2.6126012,0.5631083100000001,-0.0,0.0,-2.6442821,-2.91792229,-2.02167218,0.405994925,-0.0,0.0,-2.75646184,-3.03583416,-2.10597312,0.4156522,-0.0,0.0,-0.23535263,-0.26487394,-0.17822187,0.038191265,-0.0,0.0,-0.27043745,-0.30502045,-0.20418379,0.044544429999999996,-0.0,0.0,-0.13347669,-0.15778779,-0.10332198,0.025748510000000002,-0.0,0.0,0.49246314,0.61237879,0.30393573,-0.103303465,0.0,-0.0,0.37202658,0.31375038,0.18623415,-0.050014779999999995,0.0,-0.0
HH118,CH3OH,5.19705826,6.04646537,5.5405076,0.07467944,0.0,0.0,3.1033391,3.53093048,3.03156085,-0.09864025,0.0,0.0,2.09371916,2.51553489,2.50894674,0.17331969,0.0,0.0,-2.38772921,-2.96286612,-2.8888749,-0.20336652500000002,0.0,-0.0,-1.82333246,-2.18252297,-2.17359488,-0.14801910499999998,0.0,0.0,-1.89497342,-2.25564284,-2.26446994,-0.155180115,0.0,0.0,-0.15391082,-0.18213122,-0.18432737,-0.0124043,0.0,-0.0,-0.17575008,-0.20824374,-0.21099388,-0.0143567,0.0,0.0,-0.08958242,-0.1046226,-0.10712563,-0.007857574999999999,-0.0,-0.0,0.32331325,0.49552826,0.44459051,0.036339830000000004,0.0,0.0,0.18936244,0.33834716,0.25376343,0.017462095,-0.0,0.0
HH118,CH3SH,10.4052144,8.72325591,9.58594318,-0.46730503,-0.5481708000000001,-0.107522,6.50961051,5.15669438,5.18667326,-0.21369824,-0.04846691,0.12189021,3.89560389,3.56656153,4.39926992,-0.25360678999999997,-0.49970388499999996,-0.22941221,-4.30196459,-3.88855041,-4.79014491,0.28133220000000003,0.54182262,0.24193471500000002,-3.4110482,-3.13231373,-3.86570436,0.22698665499999998,0.441138865,0.20554875,-3.54643413,-3.25067878,-3.99435033,0.22720521,0.44639864,0.20493231,-0.30610138,-0.28141694,-0.35575732,0.02004467,0.044082125,0.020079855,-0.35214267,-0.32390941,-0.41089485,0.023125535,0.051512594999999994,0.023454065,-0.17531352,-0.16816753,-0.21973059,0.013827625,0.03070428,0.015542295000000001,0.25299288,0.27165745,0.35925655,0.012512450000000001,-0.04411737,-0.015227254999999999,0.29368889,0.18069205,0.1929666,-0.023913465000000002,-0.01057539,0.00543603
HH118,CH4,4.22222706,4.22222706,4.22222706,0.0,0.0,0.0,2.51864304,2.51864304,2.51864304,0.0,-0.0,0.0,1.70358403,1.70358403,1.70358403,-0.0,0.0,0.0,-1.88270013,-1.88270013,-1.88270013,0.0,-0.0,-0.0,-1.46601713,-1.46601713,-1.46601713,0.0,0.0,-0.0,-1.5621704,-1.5621704,-1.5621704,0.0,0.0,-0.0,-0.13145124,-0.13145124,-0.13145124,-0.0,0.0,-0.0,-0.15065021,-0.15065021,-0.15065021,0.0,0.0,-0.0,-0.06968006,-0.06968006,-0.06968006,0.0,-0.0,-0.0,0.12829364,0.12829364,0.12829364,0.0,-0.0,0.0,0.10433589,0.10433589,0.10433589,-0.0,0.0,0.0
HH118,CN,4.12448464,4.12448464,6.3411191,-0.0,0.0,-3.804e-05,2.83690148,2.83690148,4.00955369,-0.0,0.0,2.311e-05,1.28758315,1.28758315,2.33156541,0.0,0.0,-6.1145e-05,-0.5792044,-0.5792044,-2.43727447,-0.0,-0.0,0.00014712999999999998,-1.7776376,-1.7776376,-2.12185975,0.0,-0.0,2.8655e-05,-1.41155927,-1.41155927,-2.14940344,0.0,-0.0,4.8185e-05,-0.00953144,-0.00953144,-0.18390403,-0.0,0.0,-2.7649999999999998e-06,-0.01956625,-0.01956625,-0.18283576,-0.0,0.0,-3.05e-06,-0.0117607,-0.0117607,-0.11370552,-0.0,0.0,-5.58e-06,-2.43273243,-2.43273243,-0.11171298,0.0,0.0,-0.00021419,-1.70023387,-1.70023387,0.16469817,0.0,0.0,-0.00012058
HH118,CO,3.24486626,3.24486626,3.87064743,-0.0,-0.0,0.0,1.7978092,1.7978092,2.29613993,-0.0,-0.0,0.0,1.44705706,1.44705706,1.5745075,-0.0,-0.0,0.0,-1.6046828,-1.6046828,-1.75179937,0.0,0.0,-0.0,-1.28114298,-1.28114298,-1.40903893,0.0,0.0,-0.0,-1.3241887,-1.3241887,-1.43075245,0.0,0.0,-0.0,-0.09999951,-0.09999951,-0.11031256,0.0,0.0,-0.0,-0.11410382,-0.11410382,-0.12574434,0.0,0.0,-0.0,-0.05991748,-0.05991748,-0.07085285,0.0,0.0,-0.0,0.21063678,0.21063678,0.31763157,-0.0,-0.0,0.0,0.09609354,0.09609354,0.10081879,-0.0,-0.0,0.0
HH118,CO2,3.42418993,3.42418993,5.85931161,-0.0,0.0,0.0,1.92396613,1.92396613,3.87121148,0.0,-0.0,0.0,1.5002238,1.5002238,1.98810013,-0.0,0.0,0.0,-1.67082966,-1.67082966,-2.34292965,0.0,-0.0,-0.0,-1.35510305,-1.35510305,-1.77150312,0.0,-0.0,-0.0,-1.36831487,-1.36831487,-1.79098061,0.0,-0.0,-0.0,-0.09940476,-0.09940476,-0.12243468,0.0,-0.0,-0.0,-0.11248954,-0.11248954,-0.13824051,0.0,-0.0,-0.0,-0.06307368,-0.06307368,-0.07656849,0.0,-0.0,-0.0,0.27318094,0.27318094,0.90462321,-0.0,0.0,0.0,0.12132377,0.12132377,0.32936263,-0.0,0.0,0.0
