,,apc2,apc2,apc2,apc2,apc2,apc2,apc2,apc2,apc2,apc2,apc2,apc2,apc2,apc2,apc2,apc2,apc2,apc2,apc3,apc3,apc3,apc3,apc3,apc3,apc3,apc3,apc3,apc3,apc3,apc3,apc3,apc3,apc3,apc3,apc3,apc3,apc4,apc4,apc4,apc4,apc4,apc4,apc4,apc4,apc4,apc4,apc4,apc4,apc4,apc4,apc4,apc4,apc4,apc4,aCVTZ,aCVTZ,aCVTZ,aCVTZ,aCVTZ,aCVTZ,aCVTZ,aCVTZ,aCVTZ,aCVTZ,aCVTZ,aCVTZ,aCVTZ,aCVTZ,aCVTZ,aCVTZ,aCVTZ,aCVTZ,aCVQZ,aCVQZ,aCVQZ,aCVQZ,aCVQZ,aCVQZ,aCVQZ,aCVQZ,aCVQZ,aCVQZ,aCVQZ,aCVQZ,aCVQZ,aCVQZ,aCVQZ,aCVQZ,aCVQZ,aCVQZ,aCV5Z,aCV5Z,aCV5Z,aCV5Z,aCV5Z,aCV5Z,aCV5Z,aCV5Z,aCV5Z,aCV5Z,aCV5Z,aCV5Z,aCV5Z,aCV5Z,aCV5Z,aCV5Z,aCV5Z,aCV5Z
HH118,BO,2.22075833,2.22075833,2.70051397,0.0,-0.0,-0.0,0.10935257,0.10935257,0.1833522,-0.0,-0.0,0.0,2.33011089,2.33011089,2.88386617,0.0,-0.0,0.0,2.23727685,2.23727685,2.71129633,-0.0,0.0,0.0,0.10851683,0.10851683,0.18020263,0.0,-0.0,0.0,2.34579369,2.34579369,2.89149897,0.0,-0.0,0.0,2.23790584,2.23790584,2.71225594,-0.0,0.0,-0.0,0.10797863,0.10797863,0.17878043,-0.0,0.0,0.0,2.34588448,2.34588448,2.89103637,-0.0,0.0,-0.0,2.22517961,2.22517961,2.70939169,0.0,-0.0,0.0,0.11058543,0.11058543,0.18289154,-0.0,0.0,-0.0,2.33576504,2.33576504,2.89228323,-0.0,0.0,-0.0,2.23436065,2.23436065,2.71208923,0.0,-0.0,0.0,0.10893839,0.10893839,0.18021411,0.0,0.0,-0.0,2.34329904,2.34329904,2.89230334,0.0,0.0,-0.0,2.23712127,2.23712127,2.71183905,0.0,-0.0,0.0,0.10822113,0.10822113,0.17889913,0.0,0.0,-0.0,2.3453424,2.3453424,2.89073819,0.0,0.0,-0.0
HH118,BS,4.40780437,4.40780437,6.31130554,0.0,0.0,0.0,0.04187877,0.04187877,0.14128204,0.0,-0.0,-0.0,4.44968313,4.44968313,6.45258757,0.0,-0.0,-0.0,4.45030761,4.45030761,6.33649029,-0.0,0.0,-0.0,0.02886624,0.02886624,0.12866833,0.0,0.0,0.0,4.47917385,4.47917385,6.46515862,0.0,0.0,-0.0,4.45851881,4.45851881,6.3396427,0.0,0.0,-0.0,0.02714624,0.02714624,0.12571014,-0.0,-0.0,-0.0,4.48566505,4.48566505,6.46535284,0.0,-0.0,-0.0,4.44090736,4.44090736,6.3329,-0.0,0.0,0.0,0.03724788,0.03724788,0.13614485,-0.0,-0.0,0.0,4.47815524,4.47815524,6.46904485,-0.0,-0.0,0.0,4.45784964,4.45784964,6.33756906,-0.0,0.0,-0.0,0.03125701,0.03125701,0.12959445,-0.0,0.0,-0.0,4.48910665,4.48910665,6.46716351,-0.0,0.0,-0.0,4.45544889,4.45544889,6.33973665,-0.0,-0.0,-0.0,0.02853871,0.02853871,0.1257092,0.0,0.0,-0.0,4.4839876,4.4839876,6.46544585,0.0,0.0,-0.0
HH118,BeH,5.39660579,5.39660579,3.87541485,0.0,-0.0,0.0,0.00407407,0.00407407,0.0406262,0.0,0.0,-0.0,5.40067986,5.40067986,3.91604106,0.0,-0.0,0.0,5.41106558,5.41106558,3.89572231,0.0,-0.0,-0.0,0.0040227,0.0040227,0.03456596,0.0,0.0,0.0,5.41508828,5.41508828,3.93028826,0.0,-0.0,-0.0,5.42070774,5.42070774,3.90094802,-0.0,-0.0,0.0,0.00491665,0.00491665,0.03390336,-0.0,-0.0,-0.0,5.42562439,5.42562439,3.93485139,-0.0,-0.0,-0.0,5.39584552,5.39584552,3.87944204,0.0,-0.0,0.0,1.375e-05,1.375e-05,0.03779238,0.0,0.0,0.0,5.39585927,5.39585927,3.91723442,0.0,-0.0,0.0,5.4185176,5.4185176,3.89365068,0.0,0.0,0.0,-0.00193417,-0.00193417,0.03448781,0.0,-0.0,0.0,5.41658343,5.41658343,3.92813849,0.0,0.0,0.0,5.42777484,5.42777484,3.90144244,0.0,-0.0,0.0,0.00161822,0.00161822,0.03371355,0.0,-0.0,-0.0,5.42939306,5.42939306,3.93515599,0.0,-0.0,0.0
HH118,BeH2,2.86717052,2.86717052,2.99044679,0.0,-0.0,-0.0,0.02960452,0.02960452,0.02980532,0.0,0.0,0.0,2.89677504,2.89677504,3.02025211,0.0,-0.0,-0.0,2.89793128,2.89793128,2.99055508,0.0,0.0,-0.0,0.03036327,0.03036327,0.02957806,-0.0,0.0,-0.0,2.92829455,2.92829455,3.02013313,0.0,0.0,-0.0,2.90131895,2.90131895,2.99100522,-0.0,0.0,0.0,0.03208518,0.03208518,0.02959217,0.0,-0.0,-0.0,2.93340414,2.93340414,3.02059738,0.0,0.0,0.0,2.89625963,2.89625963,3.00160131,-0.0,0.0,0.0,0.03239353,0.03239353,0.0321756,-0.0,-0.0,-0.0,2.92865315,2.92865315,3.03377691,-0.0,0.0,0.0,2.90090293,2.90090293,2.9911176,-0.0,-0.0,0.0,0.03136878,0.03136878,0.03124863,0.0,-0.0,0.0,2.93227171,2.93227171,3.02236623,-0.0,-0.0,0.0,2.90176812,2.90176812,2.99084025,-0.0,0.0,-0.0,0.03187497,0.03187497,0.0302021,-0.0,-0.0,0.0,2.93364308,2.93364308,3.02104235,-0.0,0.0,-0.0
HH118,C2H2,2.87829765,2.87829765,4.67227335,0.0,0.0,0.0,-0.02777303,-0.02777303,-0.05686266,-0.0,-0.0,0.0,2.85052462,2.85052462,4.61541069,0.0,-0.0,0.0,2.89456461,2.89456461,4.68235776,-0.0,-0.0,-0.0,-0.03153732,-0.03153732,-0.05764906,-0.0,0.0,0.0,2.86302729,2.86302729,4.6247087,-0.0,-0.0,-0.0,2.8954621,2.8954621,4.68226964,0.0,-0.0,0.0,-0.03228557,-0.03228557,-0.05829555,0.0,-0.0,0.0,2.86317653,2.86317653,4.6239741,0.0,-0.0,0.0,2.87010248,2.87010248,4.68055304,-0.0,0.0,-0.0,-0.02572442,-0.02572442,-0.05327501,-0.0,-0.0,-0.0,2.84437806,2.84437806,4.62727803,-0.0,0.0,-0.0,2.89137198,2.89137198,4.68229754,-0.0,-0.0,-0.0,-0.02988658,-0.02988658,-0.05626254,-0.0,0.0,0.0,2.8614854,2.8614854,4.626035,-0.0,-0.0,0.0,2.89382727,2.89382727,4.68140586,-0.0,-0.0,-0.0,-0.03137113,-0.03137113,-0.05801356,-0.0,-0.0,0.0,2.86245614,2.86245614,4.6233923,-0.0,-0.0,-0.0
HH118,C2H3,3.42965658,5.15282142,3.23050812,-0.11716907,-0.0,0.0,0.08649224,0.03635257,0.02368141,0.026495955,0.0,0.0,3.51614882,5.18917398,3.25418953,-0.090673115,0.0,0.0,3.44754957,5.16294755,3.24520248,-0.1170799,0.0,-0.0,0.08523079,0.03700109,0.02177414,0.025767615,0.0,-0.0,3.53278037,5.19994864,3.26697662,-0.09131228499999999,0.0,-0.0,3.44842761,5.163464,3.24581733,-0.11688923,0.0,0.0,0.08515011,0.03700391,0.02102898,0.025654315,-0.0,-0.0,3.53357772,5.20046791,3.26684631,-0.091234925,-0.0,-0.0,3.42233285,5.1644777,3.23138184,-0.11737246,0.0,0.0,0.08702216,0.03932537,0.0241637,0.025541505,-0.0,0.0,3.509355,5.20380307,3.25554554,-0.09183095499999999,-0.0,0.0,3.44048754,5.16344916,3.2447819,-0.11693167,-0.0,0.0,0.08593199,0.03813924,0.02227529,0.02559041,0.0,0.0,3.52641953,5.2015884,3.26705718,-0.09134126000000001,0.0,0.0,3.44507411,5.1626066,3.24549047,-0.11688985,0.0,0.0,0.08531653,0.03740452,0.02119606,0.025699745,0.0,0.0,3.53039064,5.20001113,3.26668653,-0.091190115,0.0,0.0
HH118,C2H4,3.39412524,3.73893308,5.37780801,0.0,0.0,0.0,-0.01672145,0.04323605,-0.10178168,-0.0,-0.0,0.0,3.37740379,3.78216914,5.27602632,0.0,0.0,0.0,3.40482012,3.75533243,5.38572318,0.0,0.0,0.0,-0.01925483,0.04240124,-0.10133134,0.0,0.0,0.0,3.38556528,3.79773367,5.28439183,0.0,0.0,0.0,3.40505646,3.75595959,5.38600113,0.0,0.0,0.0,-0.02044193,0.04237641,-0.10123311,0.0,0.0,0.0,3.38461453,3.798336,5.28476802,0.0,0.0,0.0,3.39253553,3.72919848,5.39055961,-0.0,0.0,0.0,-0.01378722,0.04709383,-0.09751935,-0.0,0.0,0.0,3.37874831,3.7762923,5.29304026,-0.0,0.0,0.0,3.4038748,3.74709011,5.38711813,-0.0,0.0,0.0,-0.01821453,0.04404204,-0.09958934,0.0,0.0,0.0,3.38566027,3.79113215,5.28752879,0.0,0.0,0.0,3.40495762,3.75224501,5.3856103,-0.0,0.0,0.0,-0.02006731,0.04298101,-0.10070673,0.0,-0.0,-0.0,3.38489031,3.79522602,5.28490358,-0.0,0.0,0.0
HH118,CH2-t,2.11160669,2.3081659,2.02353799,0.0,0.0,-0.0,0.07329979,0.04381847,0.05917339,0.0,0.0,-0.0,2.18490648,2.35198437,2.08271138,0.0,0.0,-0.0,2.13567213,2.32397101,2.04641614,0.0,0.0,-0.0,0.07114345,0.04409309,0.05788221,-0.0,0.0,-0.0,2.20681558,2.3680641,2.10429835,0.0,0.0,-0.0,2.13691622,2.32523413,2.04770634,-0.0,0.0,0.0,0.07147018,0.0440881,0.05849335,-0.0,-0.0,0.0,2.2083864,2.36932224,2.10619968,-0.0,0.0,0.0,2.12067923,2.30654708,2.02693421,-0.0,0.0,-0.0,0.06905079,0.04308805,0.05544781,-0.0,-0.0,0.0,2.18973001,2.34963513,2.08238201,-0.0,0.0,0.0,2.13578409,2.31908964,2.04344749,-0.0,-0.0,0.0,0.07118243,0.04378461,0.05801378,-0.0,0.0,0.0,2.20696652,2.36287425,2.10146127,-0.0,-0.0,0.0,2.13494072,2.32248094,2.04543115,-0.0,0.0,0.0,0.07114052,0.043647,0.05822475,-0.0,-0.0,-0.0,2.20608124,2.36612794,2.1036559,-0.0,0.0,-0.0
HH118,CH2BH,4.31461952,3.63431129,5.91727789,-0.0,0.0,0.0,-0.02340254,0.04394536,-0.02075026,-0.0,0.0,0.0,4.29121698,3.67825664,5.89652764,-0.0,0.0,0.0,4.33115954,3.65649031,5.92561054,0.0,0.0,-0.0,-0.03144651,0.04244708,-0.02066458,-0.0,-0.0,-0.0,4.29971303,3.69893739,5.90494596,-0.0,0.0,-0.0,4.3309554,3.65785097,5.92545606,0.0,0.0,0.0,-0.03419139,0.04224347,-0.02122925,-0.0,0.0,0.0,4.29676401,3.70009444,5.90422681,-0.0,0.0,0.0,4.32558842,3.64177688,5.91841159,-0.0,0.0,-0.0,-0.02348192,0.04685186,-0.0156238,-0.0,-0.0,0.0,4.3021065,3.68862874,5.90278779,-0.0,0.0,-0.0,4.33092157,3.65332838,5.92311279,0.0,-0.0,-0.0,-0.03103966,0.04398412,-0.01886656,-0.0,0.0,-0.0,4.29988191,3.6973125,5.90424623,-0.0,-0.0,-0.0,4.33018675,3.65555056,5.92505063,-0.0,-0.0,0.0,-0.03380707,0.04294224,-0.02068279,-0.0,0.0,0.0,4.29637967,3.69849279,5.90436784,-0.0,-0.0,0.0
HH118,CH2F,2.18025021,2.47257527,2.29272439,0.03714837,0.0,0.0,0.11705912,0.13463089,0.07700482,-0.003645975,0.0,0.0,2.29730933,2.60720616,2.36972922,0.033502395000000004,0.0,0.0,2.19603427,2.48320402,2.30656068,0.03786305,0.0,0.0,0.11650047,0.13449579,0.07690999,-0.00353921,-0.0,0.0,2.31253474,2.61769981,2.38347067,0.03432384,0.0,0.0,2.19684948,2.48340879,2.30739475,0.0378619,-0.0,-0.0,0.11560213,0.13411486,0.07648351,-0.00348575,-0.0,0.0,2.31245161,2.61752365,2.38387826,0.03437616,-0.0,-0.0,2.16376307,2.46749121,2.28414318,0.03732379,-0.0,0.0,0.11040626,0.13131727,0.0746733,-0.003177895,0.0,-0.0,2.27416933,2.59880848,2.35881648,0.034145894999999996,0.0,0.0,2.18717397,2.48013473,2.30048171,0.03705127,0.0,0.0,0.11306488,0.13311171,0.07567772,-0.00331686,0.0,0.0,2.30023885,2.61324643,2.37615943,0.033734415000000004,0.0,0.0,2.19321408,2.48069337,2.3042071,0.03822839,0.0,-0.0,0.11412645,0.13303607,0.07557111,-0.00325072,-0.0,0.0,2.30734053,2.61372944,2.37977822,0.03497767,-0.0,0.0
HH118,CH2NH,3.19035553,2.54705173,4.33517791,0.0,0.0,0.11668792,0.09474854,0.02697244,0.00767995,0.0,0.0,-0.035100389999999995,3.28510407,2.57402418,4.34285786,0.0,0.0,0.08158752999999999,3.19927975,2.55523801,4.34144198,-0.0,0.0,0.11583048,0.09356925,0.02492947,0.00666795,-0.0,-0.0,-0.03434244,3.292849,2.58016748,4.34810994,-0.0,-0.0,0.08148804,3.19968196,2.55596654,4.34168816,0.0,-0.0,0.11586013,0.09306327,0.02448258,0.00614995,-0.0,0.0,-0.034213625,3.29274523,2.58044911,4.34783811,-0.0,0.0,0.08164651,3.1886272,2.54202096,4.34002007,0.0,-0.0,0.11691054,0.0958984,0.02586324,0.00904329,-0.0,-0.0,-0.03453018,3.2845256,2.5678842,4.34906336,0.0,-0.0,0.08238036500000001,3.19682398,2.55432069,4.34027886,0.0,-0.0,0.11610786,0.09399679,0.02494011,0.00726761,0.0,0.0,-0.034369825,3.29082078,2.57926079,4.34754647,0.0,-0.0,0.081738045,3.19825944,2.55466427,4.34103637,-0.0,0.0,0.11593161,0.09304389,0.02423901,0.00617548,-0.0,0.0,-0.034270105,3.29130333,2.57890328,4.34721185,-0.0,0.0,0.08166150999999999
HH118,CH2PH,7.87677117,5.06623019,5.69742749,-0.0,-0.0,-0.50827424,-0.17290066,-0.04294663,0.04243984,-0.0,-0.0,0.0422074,7.70387052,5.02328356,5.73986732,-0.0,-0.0,-0.466066835,7.88524011,5.09855109,5.71763781,0.0,-0.0,-0.50422848,-0.17353951,-0.05416388,0.0387293,-0.0,-0.0,0.039826085,7.7117006,5.04438721,5.75636711,0.0,-0.0,-0.464402395,7.88721593,5.10059434,5.71930405,0.0,0.0,-0.50399602,-0.17406031,-0.05603657,0.03822602,0.0,-0.0,0.039468359999999994,7.71315562,5.04455777,5.75753007,0.0,0.0,-0.46452766,7.88362128,5.07633771,5.69270079,0.0,-0.0,-0.51053709,-0.16946851,-0.04763646,0.04476445,0.0,0.0,0.040174615,7.71415277,5.02870126,5.73746523,0.0,-0.0,-0.47036247,7.88503002,5.09657661,5.71203854,-0.0,-0.0,-0.50528824,-0.17195228,-0.05419533,0.04015021,-0.0,-0.0,0.03956407,7.71307774,5.04238128,5.75218875,-0.0,-0.0,-0.46572417,7.88458751,5.09825579,5.7137771,-0.0,-0.0,-0.50478179,-0.17410047,-0.05705847,0.03824453,-0.0,-0.0,0.039611115,7.71048704,5.04119731,5.75202164,-0.0,-0.0,-0.465170675
